epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,f1
1,120.81517317146063,0.8251331870886869,31.426938764285296,0.82375,0.8602789572822657,0.722951586069954,0.7054958081056404
2,64.99336625263095,0.8925101848950172,12.876175698649604,0.90125,0.886362714009391,0.8560017011658143,0.8467452361831974
3,64.01834517344832,0.9022250078345346,35.99153256136924,0.77375,0.8199648141429183,0.7736960934505892,0.7193607928943561
4,42.831944902427495,0.925415230335318,7.521512787614483,0.95,0.9166544891799877,0.9275016368689972,0.9198289766850098
5,42.451898507773876,0.9272955186461924,13.713446194240532,0.9025,0.8724738190787944,0.8145114283753655,0.8258482059650198
6,41.18481491319835,0.9326230021936697,6.930742993645254,0.95375,0.9329129131425878,0.9252627402195268,0.9284810574329747
7,35.311302902176976,0.9426512065183328,7.7148315785234445,0.94125,0.9205260830832913,0.9112903595808304,0.9148312746579187
8,31.210585445165634,0.9451582575994986,7.041427211705013,0.9575,0.9254546013982464,0.9257625088393562,0.9234468487924566
9,29.177846265025437,0.951425885302413,8.023015726503218,0.9475,0.9164650485172109,0.9134204425928123,0.9125716993257195
10,29.02644705120474,0.9486054528361015,6.899732528720051,0.94875,0.9251157663304651,0.9085189036513237,0.9124585691105895
11,20.304082821821794,0.969602005640865,4.837646667518129,0.9725,0.958818594575771,0.9552281125335373,0.9564352237259023
12,17.8602899631951,0.9711689125665935,5.429092124868475,0.95875,0.9340167875829527,0.9337155460319779,0.9334170770751099
13,19.361442064866424,0.9686618614854278,5.044871207785036,0.96375,0.9393518426628166,0.936733382625764,0.9378976062840344
14,15.615341055439785,0.9730492008774678,4.782505261774531,0.9675,0.95025346604403,0.9455196869322059,0.9477131832618675
15,14.638099748641253,0.9721090567220307,5.424201854955754,0.96375,0.940143661212743,0.9393687351680233,0.9391576161097538
16,15.086864433949813,0.9724224381071764,5.495096438859036,0.965,0.939879460062697,0.9490412258886789,0.9440886665018183
17,15.852459454676136,0.9758696333437794,5.711874079928748,0.965,0.9470995558167006,0.9448539109691871,0.9453821916641107
18,15.641526650870219,0.9730492008774678,7.281654228971092,0.95375,0.9327849442020787,0.9219315041231839,0.9242478227355994
19,16.088145857211202,0.9743027264180507,5.224744776997795,0.96375,0.9400656052237611,0.9404359142713336,0.9391920340373761
20,15.461703551351093,0.9721090567220307,5.440603606210971,0.96,0.9366591534150274,0.9334522426031959,0.9336434449349135
